bldgid,x,y,bldgnotes,label,facility,city,address,commonname,type1,type2,type3,parentorg,dtopen,dtclose,ca2,use,editdate,zip,ward,tract,area_numbe,community,insurances_accepted,,latitude,longitude
594945,1188399.939,1855087.527,                                                                                                                                                                                                                                                              ,Jackson Pk                                                                                                                                                                                                                                                    ,Jackson Park Hospital & Medical Center                                                                                                                                                                                                                        ,Chicago                                                                                                                                                                                                                                                       ,7531 S. Stony Island                                                                                                                                                                                                                                          ,Jackson Park Hospital                                                                                                                                                                                                                                         ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,Jackson Park Hospital & Medical Center                                                                                                                                                                                                                        ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,43,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60649,8,431100,43,SOUTH SHORE                                                                     ,Humana,,16.6780697,-80.55507963
78729,1157032.343,1934151.489,                                                                                                                                                                                                                                                              ,Swedish                                                                                                                                                                                                                                                       ,Swedish Covenant Hospital                                                                                                                                                                                                                                     ,Chicago                                                                                                                                                                                                                                                       ,5145 N. California                                                                                                                                                                                                                                            ,Swedish Covenant Hospital                                                                                                                                                                                                                                     ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,Swedish Covenant Hospital                                                                                                                                                                                                                                     ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,4,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60625,40,40200,4,LINCOLN SQUARE                                                                  ,"Blue Cross Blue Shield, UnitedHealthcare, Aetna, Cigna, Humana",,17.39754474,-80.82410928
127044,1158413.669,1929236.285,                                                                                                                                                                                                                                                              ,Kindred-North                                                                                                                                                                                                                                                 ,Kindred Hospital - Chicago North                                                                                                                                                                                                                              ,Chicago                                                                                                                                                                                                                                                       ,2544 W. Montrose                                                                                                                                                                                                                                              ,Kindred Hospital - Chicago North                                                                                                                                                                                                                              ,HOSPITAL                                                                                                                                                                                                                                                      ,RELIGIOUS                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,Kindred Healthcare                                                                                                                                                                                                                                            ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,4,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60625,47,40800,4,LINCOLN SQUARE                                                                  ,"UnitedHealthcare, Aetna, Cigna, Humana",,17.35297342,-80.81266996
815642,1183576.173,1866301.922,                                                                                                                                                                                                                                                              ,U of C                                                                                                                                                                                                                                                        ,University of Chicago Hospital                                                                                                                                                                                                                                ,Chicago                                                                                                                                                                                                                                                       ,5841 S. Maryland                                                                                                                                                                                                                                              ,Univ. of Chicago Hospital                                                                                                                                                                                                                                     ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,The University of Chicago Hospitals & Health                                                                                                                                                                                                                  ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,41,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60637,5,411400,41,HYDE PARK                                                                       ,"Blue Cross Blue Shield, UnitedHealthcare, Aetna, Cigna, Humana",,16.78020972,-80.59665868
456870,1180463.601,1871498.838,                                                                                                                                                                                                                                                              ,Provident                                                                                                                                                                                                                                                     ,Provident Hospital of Cook County                                                                                                                                                                                                                             ,Chicago                                                                                                                                                                                                                                                       ,500 E. 51st Street                                                                                                                                                                                                                                            ,Cook County - Provident Hospital                                                                                                                                                                                                                              ,HOSPITAL                                                                                                                                                                                                                                                      ,COOK                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                              ,Cook County Bureau of Health Services                                                                                                                                                                                                                         ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,38,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60615,3,381900,38,GRAND BOULEVARD                                                                 ,Humana,,16.8278002,-80.62411837
392736,1178252.849,1887563.106,                                                                                                                                                                                                                                                              ,Mercy                                                                                                                                                                                                                                                         ,Mercy Hospital and Medical Center                                                                                                                                                                                                                             ,Chicago                                                                                                                                                                                                                                                       ,2525 S. Michigan                                                                                                                                                                                                                                              ,Mercy Hospital                                                                                                                                                                                                                                                ,HOSPITAL                                                                                                                                                                                                                                                      ,CORP                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                              ,Mercy Hospital and Medical Center                                                                                                                                                                                                                             ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,33,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60616,2,330500,33,NEAR SOUTH SIDE                                                                 ,"Blue Cross Blue Shield, UnitedHealthcare, Aetna, Cigna, Humana",,16.97275869,-80.6398842
382002,1157293.113,1890454.378,                                                                                                                                                                                                                                                              ,St Anthony                                                                                                                                                                                                                                                    ,Saint Anthony Hospital                                                                                                                                                                                                                                        ,Chicago                                                                                                                                                                                                                                                       ,2875 W. 19th Street                                                                                                                                                                                                                                           ,St. Anthony Hospital                                                                                                                                                                                                                                          ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,Ascension Health                                                                                                                                                                                                                                              ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,29,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60623,12,300200,30,SOUTH LAWNDALE                                                                  ,"Blue Cross Blue Shield, Aetna, Cigna, Humana",,17.00477681,-80.83473495
85891,1164629.069,1933218.835,                                                                                                                                                                                                                                                              ,Methodist                                                                                                                                                                                                                                                     ,Methodist Hospital of Chicago                                                                                                                                                                                                                                 ,Chicago                                                                                                                                                                                                                                                       ,5025 N. Paulina                                                                                                                                                                                                                                               ,Methodist Hospital                                                                                                                                                                                                                                            ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,Methodist Hospital of Chicago                                                                                                                                                                                                                                 ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,3,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60640,47,31000,3,UPTOWN                                                                          ,"UnitedHealthcare, Aetna, Cigna, Humana",,17.3869432,-80.75329622
96488,1169921.66,1932501.493,                                                                                                                                                                                                                                                              ,Lakeshore                                                                                                                                                                                                                                                     ,Chicago Lakeshore Hospital                                                                                                                                                                                                                                    ,Chicago                                                                                                                                                                                                                                                       ,4840 N. Marine Drive                                                                                                                                                                                                                                          ,Chicago Lakeshore Hospital                                                                                                                                                                                                                                    ,HOSPITAL                                                                                                                                                                                                                                                      ,CORP                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                              ,Aurora Health Care                                                                                                                                                                                                                                            ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,3,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60640,48,31300,3,UPTOWN                                                                          ,"Blue Cross Blue Shield, UnitedHealthcare, Aetna, Cigna, Humana",,17.37893666,-80.70399196
107690,1170190.744,1931249.64,                                                                                                                                                                                                                                                              ,Weiss                                                                                                                                                                                                                                                         ,Louis A. Weiss Memorial Hospital                                                                                                                                                                                                                              ,Chicago                                                                                                                                                                                                                                                       ,4646 N. Marine Drive                                                                                                                                                                                                                                          ,Weiss Memorial Hospital                                                                                                                                                                                                                                       ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,The University of Chicago Hospitals & Health                                                                                                                                                                                                                  ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,3,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60640,46,31400,3,UPTOWN                                                                          ,Humana,,17.36760988,-80.70186027
148468,1169657.895,1926940.276,Same location as Northside CC Health Ctr                                                                                                                                                                                                                      ,Thorek                                                                                                                                                                                                                                                        ,Thorek Hospital and Medical Center                                                                                                                                                                                                                            ,Chicago                                                                                                                                                                                                                                                       ,850 W. Irving Park Road                                                                                                                                                                                                                                       ,Thorek Hospital                                                                                                                                                                                                                                               ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,Thorek Hospital and Medical Center                                                                                                                                                                                                                            ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,3,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60613,46,32100,3,UPTOWN                                                                          ,"UnitedHealthcare, Aetna, Cigna, Humana",,17.32905018,-80.70817133
364101,1153413.446,1897813,                                                                                                                                                                                                                                                              ,Bethany                                                                                                                                                                                                                                                       ,Advocate Bethany Hospital                                                                                                                                                                                                                                     ,Chicago                                                                                                                                                                                                                                                       ,3435 W. Van Buren                                                                                                                                                                                                                                             ,Advocate Bethany Hospital                                                                                                                                                                                                                                     ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,Advocate Health Care                                                                                                                                                                                                                                          ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,27,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60624,28,271400,27,EAST GARFIELD PARK                                                              ,"Blue Cross Blue Shield, UnitedHealthcare, Aetna, Cigna, Humana",,17.07201103,-80.86880973
364188,1164921.208,1897555.409,                                                                                                                                                                                                                                                              ,Rush                                                                                                                                                                                                                                                          ,Rush University Medical Center                                                                                                                                                                                                                                ,Chicago                                                                                                                                                                                                                                                       ,1653 W. Congress                                                                                                                                                                                                                                              ,Rush-Pres-St. Luke's Med Ctr                                                                                                                                                                                                                                  ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,Rush-Presbyterian-St. Luke's Medical Center                                                                                                                                                                                                                   ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,28,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60612,2,282500,28,NEAR WEST SIDE                                                                  ,Humana,,17.06640641,-80.76136786
368188,1162962.842,1895857.389,                                                                                                                                                                                                                                                              ,VA-Brown                                                                                                                                                                                                                                                      ,Jesse Brown Department of Veteran's Affairs Medical Center                                                                                                                                                                                                    ,Chicago                                                                                                                                                                                                                                                       ,820 S. Damen                                                                                                                                                                                                                                                  ,VA - Jesse Brown Med Ctr                                                                                                                                                                                                                                      ,HOSPITAL                                                                                                                                                                                                                                                      ,FEDERAL                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                              ,Department of Veterans Affairs                                                                                                                                                                                                                                ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,28,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60612,2,282900,28,NEAR WEST SIDE                                                                  ,"Blue Cross Blue Shield, Aetna, Cigna, Humana",,17.05171182,-80.78017054
365295,1164177.654,1897267.821,                                                                                                                                                                                                                                                              ,Stroger                                                                                                                                                                                                                                                       ,"John H. Stroger, Jr. Hospital of Cook County                                                                                                                                                                                                                  ",Chicago                                                                                                                                                                                                                                                       ,1901 W. Harrison                                                                                                                                                                                                                                              ,Cook County - Stroger Hospital                                                                                                                                                                                                                                ,HOSPITAL                                                                                                                                                                                                                                                      ,COOK                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                              ,Cook County Bureau of Health Services                                                                                                                                                                                                                         ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,28,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60612,2,282900,28,NEAR WEST SIDE                                                                  ,"Aetna, Cigna, Humana",,17.06403646,-80.76840031
369512,1164683.985,1895768.18,                                                                                                                                                                                                                                                              ,U of I at Chicago                                                                                                                                                                                                                                             ,University of Illinois at Chicago Hospital                                                                                                                                                                                                                    ,Chicago                                                                                                                                                                                                                                                       ,1740 W. Taylor                                                                                                                                                                                                                                                ,UIC Hospital                                                                                                                                                                                                                                                  ,HOSPITAL                                                                                                                                                                                                                                                      ,STATE                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                              ,University of Illinois at Chicago                                                                                                                                                                                                                             ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,28,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60612,2,282900,28,NEAR WEST SIDE                                                                  ,"Aetna, Cigna, Humana",,17.05041528,-80.76411923
375535,1158181.21,1892444.941,Assoc geography may be incorrect (minus zip)                                                                                                                                                                                                                  ,Mount Sinai                                                                                                                                                                                                                                                   ,Mount Sinai Hospital & Medical Center                                                                                                                                                                                                                         ,Chicago                                                                                                                                                                                                                                                       ,1500 S California                                                                                                                                                                                                                                             ,Mount Sinai Hospital                                                                                                                                                                                                                                          ,HOSPITAL                                                                                                                                                                                                                                                      ,RELIGIOUS                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,Sinai Health Systems                                                                                                                                                                                                                                          ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,29,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60608,28,291500,29,NORTH LAWNDALE                                                                  ,"UnitedHealthcare, Aetna, Cigna, Humana",,17.02241331,-80.82585142
374823,1158126.94,1893036.946,                                                                                                                                                                                                                                                              ,Schwab                                                                                                                                                                                                                                                        ,Schwab Rehabilitation Hospital                                                                                                                                                                                                                                ,Chicago                                                                                                                                                                                                                                                       ,1401 S. California                                                                                                                                                                                                                                            ,Schwab Rehab. Hospital                                                                                                                                                                                                                                        ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,Sinai Health Systems                                                                                                                                                                                                                                          ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,29,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60608,28,291500,29,NORTH LAWNDALE                                                                  ,"Blue Cross Blue Shield, UnitedHealthcare, Aetna, Cigna, Humana",,17.02774899,-80.8261832
327459,1156751.12,1907080.26,                                                                                                                                                                                                                                                              ,Norwegian American                                                                                                                                                                                                                                            ,Norwegian American Hospital                                                                                                                                                                                                                                   ,Chicago                                                                                                                                                                                                                                                       ,1044 N. Francisco                                                                                                                                                                                                                                             ,Norwegian American Hospital                                                                                                                                                                                                                                   ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,Norwegian American Hospital                                                                                                                                                                                                                                   ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,24,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60622,26,240900,24,WEST TOWN                                                                       ,"Blue Cross Blue Shield, Aetna, Cigna, Humana",,17.15434653,-80.83487038
311900,1160600.677,1909570.637,                                                                                                                                                                                                                                                              ,Sts. Mary and Eliz MC-St. Eliz                                                                                                                                                                                                                                ,Sts Mary and Elizabeth Medical Center-St. Elizabeth                                                                                                                                                                                                           ,Chicago                                                                                                                                                                                                                                                       ,1431 N. Claremont                                                                                                                                                                                                                                             ,Sts Mary and Elizabeth Medical Center-St. Elizabeth                                                                                                                                                                                                           ,HOSPITAL                                                                                                                                                                                                                                                      ,RELIGIOUS                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,Resurrection Health Care                                                                                                                                                                                                                                      ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,24,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60622,1,241200,24,WEST TOWN                                                                       ,"Blue Cross Blue Shield, UnitedHealthcare, Aetna, Cigna, Humana",,17.17562013,-80.79814057
323484,1161193.36,1907748.939,                                                                                                                                                                                                                                                              ,Sts. Mary and Eliz MC-St. Mary                                                                                                                                                                                                                                ,Sts Mary and Elizabeth Medical Center-St. Mary                                                                                                                                                                                                                ,Chicago                                                                                                                                                                                                                                                       ,2233 W. Division                                                                                                                                                                                                                                              ,Sts Mary and Elizabeth Medical Center-St. Mary                                                                                                                                                                                                                ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,Resurrection Health Care                                                                                                                                                                                                                                      ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,24,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60622,32,242400,24,WEST TOWN                                                                       ,"UnitedHealthcare, Aetna, Cigna, Humana",,17.15907916,-80.79314681
367621,1139426.897,1896515.464,                                                                                                                                                                                                                                                              ,Loretto                                                                                                                                                                                                                                                       ,Loretto Hospital                                                                                                                                                                                                                                              ,Chicago                                                                                                                                                                                                                                                       ,645 S. Central Avenue                                                                                                                                                                                                                                         ,Loretto Hospital                                                                                                                                                                                                                                              ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,Loretto Hospital                                                                                                                                                                                                                                              ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,25,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60644,29,252400,25,AUSTIN                                                                          ,"Blue Cross Blue Shield, UnitedHealthcare, Aetna, Cigna, Humana",,17.06426933,-80.99989459
349714,1151195.177,1903287.801,                                                                                                                                                                                                                                                              ,Hartgrove                                                                                                                                                                                                                                                     ,Hartgrove Hospital                                                                                                                                                                                                                                            ,Chicago                                                                                                                                                                                                                                                       ,520 N.Ridgeway                                                                                                                                                                                                                                                ,Hartgrove Hospital                                                                                                                                                                                                                                            ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,"Universal Health Services, Inc.                                                                                                                                                                                                                               ",1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,23,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60624,27,231500,23,HUMBOLDT PARK                                                                   ,"Blue Cross Blue Shield, UnitedHealthcare, Aetna, Cigna, Humana",,17.12184516,-80.88792745
349542,1154505.065,1903317.697,                                                                                                                                                                                                                                                              ,Sacred Heart                                                                                                                                                                                                                                                  ,Sacred Heart Hospital                                                                                                                                                                                                                                         ,Chicago                                                                                                                                                                                                                                                       ,3240 W. Franklin                                                                                                                                                                                                                                              ,Sacred Heart Hospital                                                                                                                                                                                                                                         ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,Sacred Heart Hospital                                                                                                                                                                                                                                         ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,23,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60624,27,231600,23,HUMBOLDT PARK                                                                   ,"UnitedHealthcare, Aetna, Cigna, Humana",,17.12117361,-80.85698194
185811,1138095.238,1923225.81,                                                                                                                                                                                                                                                              ,Our Lady of Resurrection                                                                                                                                                                                                                                      ,Our Lady of Resurrection Medical Center                                                                                                                                                                                                                       ,Chicago                                                                                                                                                                                                                                                       ,5645 W. Addison                                                                                                                                                                                                                                               ,Our Lady of Resurrection Med Ctr                                                                                                                                                                                                                              ,HOSPITAL                                                                                                                                                                                                                                                      ,NONPROFIT                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,Resurrection Health Care                                                                                                                                                                                                                                      ,1899-12-30 00:00:00,                                                                                                                                                                                                                                                              ,15,Hospitals                                                                                                                                                                                                                                                     ,8/10/2007 0:00,60634,38,151200,15,PORTAGE PARK                                                                    ,"Blue Cross Blue Shield, UnitedHealthcare, Aetna, Cigna, Humana",,17.30475694,-81.00459391
