street,crime_count,street_name,latitude,longitude
E 117 PL,18,,41.886958194078254,-87.63333594135959
E 117 ST,41,,41.87847581243487,-87.6257396208221
E 117TH PL,395,,41.87537259204759,-87.62036435834558
E 117TH ST,579,,41.88734894589884,-87.6347643540835
E 118 PL,42,,41.87804497011785,-87.63378243380367
E 118 ST,84,,41.87379680988755,-87.63906226105291
E 118TH PL,617,,41.8802912866796,-87.62974641953542
E 118TH ST,1081,,41.869129575025006,-87.63422707071527
E 118th Pl,1,,41.886265317719335,-87.63500876218666
E 118th St,2,,41.870997897441825,-87.63001094479445
E 119 PL,56,,41.887813009082215,-87.63495889456978
E 119 ST,81,,41.88154271094812,-87.62456760769342
E 119TH PL,605,,41.87285275087985,-87.62523567302776
E 119TH ST,1275,,41.87545566265439,-87.62715388338813
E 11TH PL,8,,41.88077059421522,-87.6290845063185
E 11TH ST,207,,41.86990579540109,-87.62309395008822
E 120 PL,30,,41.874515601299436,-87.636069629792
E 120 ST,48,,41.8689155028311,-87.62798214113624
E 120TH PL,660,,41.88165128723685,-87.63946824342145
E 120TH ST,761,,41.87834186116599,-87.63527008449604
E 121 PL,79,,41.88100345580819,-87.6363126714199
E 121 ST,35,,41.881918754762054,-87.63206529307399
E 121ST PL,1391,,41.88683459977474,-87.63704958111708
E 121ST ST,510,,41.874921327021006,-87.63753052957519
E 122 PL,14,,41.88659387236557,-87.62225321293238
E 122 ST,16,,41.873258832554306,-87.62660031907932
E 122ND PL,200,,41.884444444004025,-87.62869598376801
E 122ND ST,276,,41.87869301156712,-87.634962954182
E 122nd st,1,,41.86996205535612,-87.62185568484094
E 123 ST,10,,41.88610836114327,-87.62713797085453
E 123RD ST,222,,41.874880595820976,-87.63281580850774
E 124 PL,6,,41.882619113577405,-87.62185779480095
E 124 ST,26,,41.8858417284853,-87.62420248908285
E 124TH PL,55,,41.88094063292309,-87.63811720070011
E 124TH ST,226,,41.871332574281894,-87.62182891622946
E 125 PL,4,,41.880228581193194,-87.63961605896768
E 125TH PL,114,,41.870129430857325,-87.62652996461784
E 125TH ST,1,,41.86820123167693,-87.63658383897166
E 126 PL,1,,41.879074675787336,-87.62596209604615
E 126 ST,6,,41.881139225190054,-87.63531461381079
E 126TH PL,1,,41.882343584426955,-87.63505501825007
E 126TH ST,220,,41.87460799396319,-87.62487017189764
E 127 ST,20,,41.88109265798095,-87.62281553179012
E 127TH ST,257,,41.88125225784601,-87.62843382793329
E 128 ST,8,,41.86997349535657,-87.63244568393881
E 128TH ST,31,,41.87340404735364,-87.63492020713242
E 129TH ST,3,,41.88756021109505,-87.63193804550667
E 13 ST,15,,41.88594093110355,-87.62717722748006
E 130 PL,91,,41.883996226070835,-87.6297472581379
E 130 ST,146,,41.87963807769253,-87.62994964612362
E 130TH PL,630,,41.87200485975596,-87.62535095769478
E 130TH ST,1813,,41.87371544724882,-87.63931368067138
E 130TH ST S,2,,41.881009445918146,-87.63625778641186
E 131 PL,70,,41.88690917168706,-87.62072142845994
E 131 ST,269,,41.886397287804414,-87.63239682599489
E 131ST PL,1010,,41.868409132330584,-87.62123362874824
E 131ST ST,2698,,41.87666368296635,-87.62046690361913
E 132 PL,20,,41.88737239954179,-87.62273981089065
E 132 ST,313,,41.87398897784139,-87.63209804542797
E 132ND PL,347,,41.88512273343034,-87.63346155989687
E 132ND ST,2694,,41.87148985493373,-87.62866397475084
E 133 PL,77,,41.886823095483216,-87.62587940406651
E 133 ST,339,,41.87950122340179,-87.63785647012459
E 133RD PL,917,,41.880400144533986,-87.61999892299792
E 133RD ST,2725,,41.87090168030473,-87.62943340695273
E 133rd Pl,1,,41.88564746143856,-87.62498462764492
E 133rd st,1,,41.88204031481991,-87.62575031832026
E 134 PL,8,,41.875289823024396,-87.63392816311472
E 134 ST,264,,41.884287223109574,-87.62359773210642
E 134TH PL,40,,41.88544144637161,-87.62153518894887
E 134TH ST,2050,,41.87832684797722,-87.62976967410626
E 135 PL,2,,41.88406590357934,-87.62680072138444
E 135 ST,2,,41.882139337545155,-87.62388414661127
E 135TH PL,69,,41.88590010683635,-87.63304009686297
E 135TH ST,17,,41.8756116590528,-87.63792036120319
E 136 PL,7,,41.87966560281993,-87.63908115452406
E 136 ST,35,,41.87741196036265,-87.62894710730585
E 136TH PL,219,,41.87383082504257,-87.62798333478862
E 136TH ST,750,,41.86871000499878,-87.63905303622502
E 137 ST,2,,41.884552011213195,-87.63259618717177
E 137TH ST,108,,41.87064121025304,-87.62935513479891
E 138 ST,10,,41.88349987106198,-87.63548357945007
E 138TH ST,187,,41.88055780951638,-87.63809305070012
E 13TH ST,273,,41.86913363442338,-87.62917290736864
E 14 PL,9,,41.8789127024322,-87.62705140197004
E 14 ST,5,,41.88262182667446,-87.62028295841075
E 14TH PL,155,,41.87842600696603,-87.63334087054118
E 14TH ST,202,,41.884003723895376,-87.63438335497476
E 15TH PL,19,,41.876879428414114,-87.63823087237316
E 16 ST,24,,41.86860701486831,-87.62054703170645
E 16TH ST,285,,41.884819602410246,-87.62588051587812
E 16th St,1,,41.87627905888829,-87.63633411359858
E 17TH ST,17,,41.871228740853425,-87.63479514203671
E 18 ST,12,,41.879084533294126,-87.625508081546
E 18TH DR,53,,41.881303947534356,-87.63420132206109
E 18TH ST,228,,41.88719730561327,-87.6250420616661
E 18th St,1,,41.87918708105023,-87.62756558507532
E 18th dr,1,,41.87649200124856,-87.63484538020998
E 21 ST,53,,41.87521945357303,-87.62464307779072
E 21ST ST,615,,41.8683878697726,-87.63747854718986
E 21st ST,1,,41.86902005284044,-87.63898542395363
E 21st St,2,,41.88520921168023,-87.6257268428124
E 22 ST,2,,41.87758347658175,-87.63784331678698
E 23 ST,30,,41.87793231750234,-87.6303305645844
E 23RD DR,7,,41.8715640373982,-87.63112296701524
E 23RD ST,300,,41.876070094687954,-87.62748299803896
E 24 ST,26,,41.880801873017354,-87.63889391980456
E 24TH PL,32,,41.875592252292535,-87.62728280168572
E 24TH ST,109,,41.878162725171606,-87.62267020317624
E 24th St,1,,41.881273872632384,-87.63654131145837
E 25 ST,3,,41.86951137494801,-87.62695161443588
E 25TH PL,20,,41.86863022621083,-87.62808448837454
E 25TH ST,189,,41.8869046048285,-87.62829051644249
E 26 ST,23,,41.87586339852413,-87.62693423563115
E 26TH ST,440,,41.877265057809836,-87.62888766421368
E 27TH ST,1,,41.88692929617553,-87.63207794724399
E 28 PL,1,,41.88732381127648,-87.62169298716088
E 28 ST,1,,41.872015822695786,-87.6384127739825
E 28TH PL,8,,41.87011556002755,-87.63943556348697
E 28TH ST,74,,41.86998885921512,-87.62613986453168
E 29 ST,55,,41.86952377296921,-87.63342048739413
E 29TH PL,17,,41.88499750621939,-87.63933456128528
E 29TH ST,487,,41.884389369651785,-87.63416290450454
E 30 ST,1,,41.87046329655244,-87.62586525669272
E 30TH ST,56,,41.8806788569356,-87.62225055972947
E 31 PL,1,,41.88280142087608,-87.6237303813923
E 31 ST,27,,41.87374069145143,-87.63625120912441
E 31ST DR,98,,41.883112295032824,-87.62366330521466
E 31ST PL,20,,41.88791010284002,-87.63154764646177
E 31ST ST,498,,41.875540361715856,-87.62427174078516
E 32 ST,108,,41.874916070805064,-87.62118485348793
E 32ND PL,26,,41.88526825503686,-87.63122011945251
E 32ND ST,1731,,41.883117421355834,-87.62470914251831
E 32nd st,3,,41.870162477376724,-87.62174894186641
E 33 BL,1,,41.87820504744896,-87.62327085067786
E 33 PL,18,,41.874500992020614,-87.62188953543009
E 33 ST,80,,41.875884033574685,-87.6395832469704
E 33RD BLVD,96,,41.886207639528386,-87.63797426646428
E 33RD PL,551,,41.87448627275181,-87.62079876065899
E 33RD ST,1283,,41.887112142938754,-87.62833124223754
E 33rd Pl,1,,41.8807367442434,-87.63083108956043
E 33rd St,3,,41.873964215433965,-87.63322670909261
E 34 ST,168,,41.88155036912154,-87.62475250941125
E 34TH ST,941,,41.88393158087452,-87.62400763714412
E 35 ST,339,,41.86992412206098,-87.62991159390594
E 35TH ST,4329,,41.86925117520034,-87.62880942235353
E 35th st,2,,41.87693061002747,-87.62204591634483
E 36 PL,24,,41.875118300251046,-87.63745865967145
E 36 ST,199,,41.87095983364106,-87.62456978736566
E 36TH PL,320,,41.88046436126633,-87.63777754647755
E 36TH ST,1386,,41.8697821361223,-87.62578061737082
E 37 PL,174,,41.869555260127285,-87.6233627988142
E 37 ST,242,,41.88222484454313,-87.63817302438717
E 37TH PL,732,,41.86979675428171,-87.62006720842997
E 37TH ST,1505,,41.875585415915126,-87.63238715705866
E 38 PL,162,,41.88435599134515,-87.62085502845233
E 38 ST,172,,41.88782002127646,-87.62473243629482
E 38TH PL,1029,,41.87562519171062,-87.63812998566603
E 38TH ST,1056,,41.88364293831855,-87.62863191500529
E 38th St,1,,41.87658444018494,-87.62167291229811
E 38th pl,1,,41.87032394964613,-87.62994749791419
E 40 ST,126,,41.868327072895354,-87.63042678716012
E 40TH PL,5,,41.869226065513644,-87.63742364167464
E 40TH ST,1869,,41.87045052493554,-87.62681579395768
E 41 PL,3,,41.88302089758531,-87.62813262469805
E 41 ST,136,,41.887343450969496,-87.63230258840953
E 41ST PL,176,,41.87381424172564,-87.62242801743622
E 41ST ST,1841,,41.87257191677039,-87.6205355492112
E 42 PL,22,,41.8683430894938,-87.62040242346585
E 42 ST,109,,41.868963198239015,-87.62197713772605
E 42ND PL,370,,41.87865402218173,-87.61994070407762
E 42ND ST,1323,,41.86957593129471,-87.62872291431198
E 42nd Pl,1,,41.88748605071238,-87.6293380431166
E 42nd St,1,,41.88068797276271,-87.62588502622032
E 43 ST,222,,41.87719082129536,-87.62724883839832
E 43RD ST,3615,,41.87978628623846,-87.62177683979019
E 43rd St,2,,41.869008927606835,-87.63418073620817
E 44 PL,18,,41.88710822968154,-87.62199472432218
E 44 ST,165,,41.87721313505572,-87.62739734804397
E 44TH PL,191,,41.87364762365963,-87.63603757680553
E 44TH ST,1448,,41.8773739680988,-87.63273295543948
E 44th St,1,,41.87977312223702,-87.6382453072607
E 45 PL,30,,41.88758789615333,-87.62007578511042
E 45 ST,139,,41.8820632342804,-87.62907807267312
E 45 STREET,1,,41.87429055232573,-87.62352409960586
E 45TH PL,303,,41.88179462345108,-87.6365476612131
E 45TH ST,1697,,41.88631854368988,-87.62334925514153
E 45th st,1,,41.88709599826584,-87.62528560983223
E 46 PL,57,,41.88036830391872,-87.63143513927419
E 46 ST,258,,41.88675456966708,-87.62247872220999
E 46TH PL,438,,41.86900437340213,-87.63927266051006
E 46TH ST,2893,,41.875629267337565,-87.62358893338437
E 46th St,2,,41.887845522586304,-87.63679166217793
E 46th st,1,,41.879982614307046,-87.63218218286738
E 47 DR,1,,41.8874982879563,-87.6229576215373
E 47 PL,25,,41.884866574094225,-87.6304261368041
E 47 ST,1036,,41.87639639004676,-87.6343318585614
E 47 STREET,1,,41.86922750993302,-87.6225055524749
E 47TH DR,249,,41.8843580201826,-87.61980564653427
E 47TH PL,177,,41.88803273674148,-87.62869136588795
E 47TH ST,9384,,41.883479748303614,-87.62090468540235
E 47TH St,1,,41.885092947813554,-87.63485303796514
E 47TH st,1,,41.877110882706205,-87.63721681169697
E 47th ST,1,,41.88718102054518,-87.62767650731098
E 47th St,2,,41.87267285611007,-87.62636598631188
E 47th st,4,,41.880462564809164,-87.63263674563935
E 48 PL,19,,41.870371151844,-87.62636853608815
E 48 ST,160,,41.878506154018076,-87.6243536321653
E 48TH PL,262,,41.87850327002224,-87.62275636999364
E 48TH ST,1784,,41.879138136775495,-87.62858124056929
E 48th St,1,,41.88563307205317,-87.63173034267575
E 48th pl,1,,41.87078030456902,-87.63922434647374
E 48th st,1,,41.88320274511348,-87.62739380897294
E 49 ST,120,,41.882181595361985,-87.63554071676982
E 49TH DR,4,,41.87082742951174,-87.63950910668665
E 49TH ST,1843,,41.875111751176135,-87.62800164626292
E 49th ST,1,,41.875944880902,-87.63105050155953
E 49th St,1,,41.886183173889876,-87.63283489065954
E 50 PL,107,,41.8783797897832,-87.62412693974518
E 50 ST,194,,41.87603085564643,-87.62735826599544
E 50TH PL,1602,,41.88534727417494,-87.62080958752685
E 50TH ST,2686,,41.87104146961858,-87.62126824749677
E 50th PL,2,,41.877942325861596,-87.63463511223402
E 50th Pl,4,,41.87728271512477,-87.6201993484943
E 50th St,4,,41.87795236187986,-87.63322496779425
E 51 ST,570,,41.88076801708634,-87.63499708762444
E 51ST ST,5498,,41.86961726656218,-87.63722240556179
E 51ST st,1,,41.87066091677916,-87.63676194612975
E 51st St,2,,41.870876543452994,-87.62698250510394
E 52 ST,79,,41.87173760168799,-87.63288665433353
E 52ND PL,9,,41.88603576819813,-87.63032076719475
E 52ND ST,1069,,41.881451154770424,-87.63635360257597
E 52nd St,2,,41.87194578037618,-87.63898262767468
E 53 ST,507,,41.871478701261445,-87.63422819321936
E 53RD DR,6,,41.87164020968554,-87.63802594932486
E 53RD ST,5405,,41.87051271742202,-87.63058442463935
E 53RD st,4,,41.87222667436812,-87.63251460277904
E 53rd ST,2,,41.8781683454171,-87.62599210342742
E 53rd St,5,,41.868886242796826,-87.62381179202183
E 53rd st,6,,41.88065800778982,-87.63816481936102
E 54 PL,10,,41.88557157248214,-87.62138255198937
E 54 ST,105,,41.869321559197104,-87.63426244703706
E 54TH PL,247,,41.88422402559586,-87.62483480619233
E 54TH ST,1292,,41.87179042038713,-87.63561301353327
E 54th PL,1,,41.87550944205583,-87.63010954029619
E 54th Pl,2,,41.88046509543061,-87.63242172720861
E 54th St,1,,41.877350694322665,-87.62485058123733
E 54th pl,1,,41.86883366405782,-87.63475126111312
E 54th st,1,,41.882366991717696,-87.62189586324627
E 55 PL,62,,41.87833354884231,-87.6291577302947
E 55 ST,426,,41.8702434402268,-87.63085175266353
E 55TH DR,38,,41.878752345329104,-87.63495058992731
E 55TH PL,757,,41.873484864618995,-87.63225431673791
E 55TH ST,3186,,41.86850142395556,-87.63335841668834
E 55th PL,1,,41.87232896013993,-87.63325005295644
E 55th St,8,,41.87049524263639,-87.6219894543852
E 56 ST,124,,41.87997184907108,-87.62621795361711
E 56TH ST,1943,,41.88388342477215,-87.62983115602142
E 56th ST,1,,41.869838405761755,-87.62905786916363
E 56th St,1,,41.879836822360424,-87.62489121051631
E 57 ST,163,,41.8767331909246,-87.63724839394409
E 57TH BLVD,7,,41.87377551811598,-87.63253835407203
E 57TH DR,80,,41.881018344826636,-87.62838443390662
E 57TH ST,1829,,41.87522193451796,-87.62006969502414
E 57th St,4,,41.880215496387144,-87.63505546416528
E 58 ST,142,,41.870135649452415,-87.63674281721632
E 58TH ST,1476,,41.87301915456769,-87.63658637253481
E 58th St,3,,41.87183134048103,-87.63409809662613
E 59 ST,142,,41.8715674719059,-87.62186469150747
E 59 STREET,1,,41.86970467491324,-87.6293097722086
E 59TH ST,1880,,41.876307936539796,-87.62015242766184
E 59TH st,1,,41.870340778043364,-87.6318428880191
E 59th St,1,,41.88748940866551,-87.62248985748212
E 60 ST,222,,41.884441441418986,-87.6346419434591
E 60TH ST,2562,,41.8715177517478,-87.62642713560152
E 60th St,1,,41.886687519782555,-87.62866474213972
E 61 PL,14,,41.8795322537894,-87.6342004181268
E 61 ST,458,,41.88348985866384,-87.63605912502885
E 61ST PL,118,,41.87457358472809,-87.63129127122768
E 61ST ST,4748,,41.878252207573695,-87.6349518053517
E 61st ST,1,,41.87039673649479,-87.62758759915117
E 61st St,3,,41.87387261106481,-87.62817523557155
E 62 PL,1,,41.87118725430549,-87.63017719796291
E 62 ST,321,,41.87875178865104,-87.63876352926356
E 62ND PL,23,,41.87483208556388,-87.63711170646123
E 62ND ST,3263,,41.86936749940946,-87.6200007953522
E 62nd ST,1,,41.874547076899496,-87.62360251108291
E 63 PL,3,,41.87319281309528,-87.62616994555552
E 63 ST,646,,41.883304557197796,-87.62788722518785
E 63RD PL,49,,41.877531523771005,-87.63156318171706
E 63RD ST,6307,,41.87507736533086,-87.62120941711504
E 63rd St,1,,41.884712388155755,-87.62049946178668
E 64 PL,1,,41.87058594446972,-87.62518265049593
E 64 ST,74,,41.88686680913642,-87.6361753386767
E 64 STREET,1,,41.86942992534734,-87.6249775870142
E 64TH PL,131,,41.8795894622636,-87.62296342446484
E 64TH ST,899,,41.870895447532526,-87.6238946537628
E 65 PL,38,,41.872132546400955,-87.63652688114269
E 65 ST,135,,41.87138531595863,-87.62350850559538
E 65TH PL,393,,41.881403944413925,-87.62933869150461
E 65TH ST,1791,,41.87527660968247,-87.62225598918374
E 66 PL,80,,41.87594890214846,-87.62346801121058
E 66 ST,34,,41.87688269817141,-87.63226111141151
E 66TH PL,951,,41.877353595713394,-87.63377244251672
E 66TH ST,505,,41.88305218760353,-87.62974559219815
E 67 PL,91,,41.87274425390294,-87.62180850853451
E 67 ST,551,,41.875777824427466,-87.62892894277772
E 67 STREET,1,,41.886229442219296,-87.62731524008173
E 67TH PL,1474,,41.87043796081417,-87.62100335752773
E 67TH ST,7219,,41.88065416106143,-87.63310188770686
E 67th st,1,,41.87088544145327,-87.6239194962146
E 68 ST,320,,41.880501455118576,-87.62913077816047
E 68TH ST,4537,,41.885977851661025,-87.62402805577551
E 69 PL,118,,41.871133497594656,-87.6335655586441
E 69 ST,458,,41.87306978279629,-87.62492107414855
E 69TH PL,1375,,41.86877064869472,-87.62840220630258
E 69TH ST,4914,,41.88334917371482,-87.62226468726477
E 69th pl,2,,41.87494163497432,-87.62337485390657
E 70 PL,60,,41.87031263473911,-87.62287095416531
E 70 ST,452,,41.87064977324664,-87.6318542541888
E 70TH PL,909,,41.884045907315596,-87.63680165145303
E 70TH ST,5226,,41.87268502790466,-87.62535494863214
E 70th st,2,,41.882500730730925,-87.6269770473423
E 71 PL,131,,41.88197896888934,-87.62894551113305
E 71 ST,1368,,41.873135981178145,-87.63288608012992
E 71 ST.,1,,41.871731954336035,-87.62163098877333
E 71ST PL,2239,,41.87976783589533,-87.63178297166473
E 71ST ST,14478,,41.87734011607289,-87.62085433320776
E 71st PL,1,,41.871167028062324,-87.62807540335967
E 71st st,1,,41.878217773577695,-87.62757091529132
E 72 PL,138,,41.86846220367642,-87.62235752182112
E 72 ST,460,,41.886742365649674,-87.62849733632822
E 72ND PL,1803,,41.88203301647754,-87.62135001237645
E 72ND ST,6405,,41.88224477268627,-87.63674921914172
E 72nd Pl,1,,41.879625767203336,-87.62766569907235
E 73 PL,88,,41.87658261342605,-87.62507111528751
E 73 ST,468,,41.886787340295385,-87.62128862974187
E 73RD PL,1228,,41.877116787428086,-87.63753523908319
E 73RD ST,5259,,41.88779682397925,-87.62302203827109
E 73rd st,1,,41.870593253624065,-87.62138316234766
E 74 PL,63,,41.885497927241246,-87.62942323885748
E 74 ST,305,,41.879925508714905,-87.6318199459226
E 74TH PL,1112,,41.86919523277644,-87.63309605516709
E 74TH ST,3815,,41.884157068971966,-87.63970735953991
E 75 PL,28,,41.87476998343383,-87.63183662612819
E 75 ST,1074,,41.87884791205876,-87.62140288767175
E 75 STREET,2,,41.875026919887326,-87.63286093596207
E 75TH PL,288,,41.882850024962195,-87.6307556411822
E 75TH ST,14542,,41.8725920964588,-87.63075120967734
E 76 PL,58,,41.8709171404076,-87.63627226026988
E 76 ST,296,,41.878067355454796,-87.63142149100992
E 76TH PL,666,,41.88639691802137,-87.63255212201767
E 76TH ST,4970,,41.87971176700557,-87.62715471424161
E 76Th St,1,,41.86836188913177,-87.62652925255966
E 76th St,1,,41.8716607193374,-87.62057859365062
E 76th st,2,,41.871073254555064,-87.63150751752546
E 77 PL,19,,41.86980699336158,-87.61986251496309
E 77 ST,239,,41.87814390020663,-87.6278922996536
E 77TH PL,402,,41.86944152954777,-87.62480079059202
E 77TH ST,4240,,41.872298111861916,-87.62183891421118
E 77th St,1,,41.872202792809645,-87.63598624558674
E 77th st,1,,41.868830993356966,-87.6303586610978
E 78 PL,11,,41.87939682266526,-87.63848582721144
E 78 ST,323,,41.883610552333906,-87.63073422330504
E 78 STREET,3,,41.87858780538655,-87.63098474506124
E 78TH PL,138,,41.87611526121751,-87.62860719337384
E 78TH ST,5680,,41.87120480491862,-87.6361614373901
E 78th ST,1,,41.88533571242027,-87.62087769075733
E 78th St,1,,41.8755661863256,-87.63438510653714
E 78th st,1,,41.88097999086478,-87.63162531657804
E 79 PL,52,,41.86860772711321,-87.63667694805268
E 79 ST,1697,,41.88241944457695,-87.6266215211618
E 79 STREET,3,,41.86864191985007,-87.63536055676134
E 79TH PL,582,,41.87272149593176,-87.62636214512803
E 79TH ST,24112,,41.86849421075509,-87.63771782836031
E 8 ST,35,,41.88409832170747,-87.63622910675892
E 80 PL,49,,41.88115492215704,-87.63503634437907
E 80 ST,365,,41.87008882785519,-87.63493655618001
E 80TH PL,376,,41.882545338637115,-87.62268607063788
E 80TH ST,5442,,41.884704397291344,-87.63185632940764
E 81 PL,30,,41.881461702731414,-87.6357003140917
E 81 ST,409,,41.873962954605226,-87.62187328362958
E 81 STREET,1,,41.86836003847022,-87.63808982938292
E 81ST PL,258,,41.872257725102926,-87.63926935592252
E 81ST ST,4981,,41.8717287087018,-87.6281391687806
E 82 PL,21,,41.876528491011854,-87.62194656577846
E 82 ST,380,,41.884448871234774,-87.63296365296604
E 82 STREET,1,,41.873288468668626,-87.63220615183666
E 82ND PL,217,,41.879905898850296,-87.63443872718355
E 82ND ST,4690,,41.88058297815699,-87.63161176695618
E 82nd St,1,,41.879140943617045,-87.63107746941729
E 83 PL,38,,41.87398931519084,-87.62083093386076
E 83 ST,493,,41.8833721158832,-87.63699773648467
E 83 ST.,1,,41.88546935951796,-87.63005137603501
E 83RD PL,642,,41.88599104453789,-87.62380289488105
E 83RD ST,6805,,41.87660427008939,-87.6393506138336
E 83rd st,1,,41.8734735471877,-87.62896731570679
E 84 PL,66,,41.88076956439652,-87.63464224629134
E 84 ST,126,,41.87088712148146,-87.62310139526402
E 84TH PL,1156,,41.88778804361407,-87.62928619635395
E 84TH ST,2331,,41.87153358571697,-87.63435385346962
E 84th PL,1,,41.868467813530955,-87.6215140238688
E 84th Pl,1,,41.870455021657804,-87.62826967048971
E 84th St,1,,41.873581104413745,-87.62871643994968
E 84th pl,1,,41.881128407767044,-87.62320516392586
E 85 PL,31,,41.87222842543522,-87.63958008342684
E 85 ST,92,,41.87083771260138,-87.62179962716304
E 85TH PL,436,,41.88557780155126,-87.62785173795659
E 85TH ST,1481,,41.88011033720868,-87.62649926650907
E 85th st,1,,41.87160742557247,-87.6215117610815
E 86 PL,40,,41.87647541049785,-87.63213722943502
E 86 ST,86,,41.87847835410566,-87.63886068066451
E 86TH PL,487,,41.87142566737513,-87.62503932767147
E 86TH ST,1232,,41.86975597335851,-87.62773695781067
E 86th st,1,,41.87300698219363,-87.63201408771917
E 87 PL,115,,41.873873874735416,-87.63268654567071
E 87 ST,967,,41.88248091810369,-87.63385756568753
E 87 STREET,1,,41.87942809280594,-87.63027899195602
E 87TH PL,1424,,41.88137342330726,-87.6210634052135
E 87TH ST,12060,,41.88275144194421,-87.6355011924282
E 87th Pl,1,,41.86872366270123,-87.634554719114
E 88 PL,77,,41.88000155861401,-87.63877148373032
E 88 ST,104,,41.87802732494403,-87.62786314302167
E 88TH PL,1055,,41.874784877816346,-87.62438175592509
E 88TH ST,1527,,41.87023196506268,-87.63829724436529
E 89 PL,117,,41.88266377512407,-87.62989017367588
E 89 PLACE,2,,41.881868047928556,-87.63110345322792
E 89 ST,333,,41.873028040664785,-87.62341795364652
E 89 STREET,2,,41.88408831757938,-87.62590607058291
E 89TH PL,1646,,41.8735429027446,-87.62799538666262
E 89TH ST,3957,,41.8753194779388,-87.63796835853347
E 89th PL,1,,41.88644627150925,-87.63706362738162
E 8TH ST,836,,41.88710474707642,-87.63087988454085
E 8th St,5,,41.871802658576776,-87.62896198105244
E 9 ST,18,,41.88555891671753,-87.62515550227181
E 90 PL,89,,41.88423122295723,-87.62662433266578
E 90 ST,176,,41.88194553129036,-87.6228160869687
E 90TH PL,1099,,41.87309336017719,-87.63001150072714
E 90TH ST,2588,,41.872524188836394,-87.62004663984007
